Term,Section,Former,Title,Credits,Instructional Method,Location,Start Date,End Date,Meeting Days,Start Time,End Time,Instructor(s),Seats Remaining,GERS,Purpose,Prequisites,Notes,Sort,Courses ID
Fall 2017 - Day,ACC-111-01,ACC-23,Financial Accounting Prncpls,4,LEC,HIP 202,08/22/17,12/05/17,MWF,12:30PM,01:20PM,Ms. Sandra G. Roberson,FULL,,undergraduate day,,,1,2621
Fall 2017 - Day,ACC-111-01,ACC-23,Financial Accounting Prncpls,4,EXAM,HIP 202,12/07/17,12/07/17,R,12:00PM,02:30PM,,FULL,,undergraduate day,,,2,2621
Fall 2017 - Day,ACC-111-02,ACC-23,Financial Accounting Prncpls,4,LEC,HIP 202,08/22/17,12/05/17,MWF,01:30PM,02:20PM,Ms. Sandra G. Roberson,FULL,,undergraduate day,,,1,2621
Fall 2017 - Day,ACC-111-02,ACC-23,Financial Accounting Prncpls,4,EXAM,HIP 202,12/13/17,12/13/17,W,12:00PM,02:30PM,,FULL,,undergraduate day,,,2,2621
Fall 2017 - Day,ACC-111-03,ACC-23,Financial Accounting Prncpls,4,LEC,HIP 202,08/22/17,12/05/17,TR,10:00AM,11:15AM,Dr. Marion E. McHugh,FULL,,undergraduate day,,,1,2621
Fall 2017 - Day,ACC-111-03,ACC-23,Financial Accounting Prncpls,4,EXAM,HIP 202,12/12/17,12/12/17,T,08:30AM,11:00AM,,FULL,,undergraduate day,,,2,2621
Fall 2017 - Day,ACC-111-04,ACC-23,Financial Accounting Prncpls,4,LEC,HIP 202,08/22/17,12/05/17,TR,08:30AM,09:45AM,Bill Merkt,10,,undergraduate day,,,1,2621
Fall 2017 - Day,ACC-111-04,ACC-23,Financial Accounting Prncpls,4,EXAM,HIP 202,12/08/17,12/08/17,F,08:30AM,11:00AM,,10,,undergraduate day,,,2,2621
Fall 2017 - Day,ACC-301-BL2,ACC-24,Managerial Accounting Prncpls,4,LEC, ,08/22/17,12/05/17,,,,Dr. Suzanne B. Summers,25,,undergraduate day,"ACC-111, ECN-111, 225, MTH-141, or 150",,1,2622
Fall 2017 - Day,ACC-301-BLK,ACC-24,Managerial Accounting Prncpls,4,LEC, ,08/22/17,12/05/17,,,,Dr. Suzanne B. Summers,25,,undergraduate day,"ACC-111, ECN-111, 225, MTH-141, or 150",,1,2622
Fall 2017 - Day,ACC-312-01,ACC-42,Intrmd Financial Accounting II,4,LEC,HIP 204,08/22/17,12/05/17,MTRF,10:30AM,11:20AM,Ms. Sandra G. Roberson,1,,undergraduate day,ACC-311,,1,2624
Fall 2017 - Day,ACC-312-01,ACC-42,Intrmd Financial Accounting II,4,EXAM,HIP 204,12/11/17,12/11/17,M,08:30AM,11:00AM,,1,,undergraduate day,ACC-311,,2,2624
Fall 2017 - Day,ACC-340-01,ACC-47,Federal Income Taxation,4,LEC,HIP 204,08/22/17,12/05/17,MR,02:30PM,03:45PM,Dr. Suzanne B. Summers,FULL,,undergraduate day,ACC-111,,1,2627
Fall 2017 - Day,ACC-340-01,ACC-47,Federal Income Taxation,4,EXAM,HIP 204,12/11/17,12/11/17,M,03:30PM,06:00PM,,FULL,,undergraduate day,ACC-111,,2,2627
Fall 2017 - Day,ACC-350-01,,Accounting Information Systems,4,LEC,HIP 102,08/22/17,12/05/17,T,02:30PM,05:00PM,Dr. Marion E. McHugh,2,,undergraduate day,ACC-111,,1,2628
Fall 2017 - Day,ACC-350-01,,Accounting Information Systems,4,EXAM,HIP 102,12/08/17,12/08/17,F,03:30PM,06:00PM,,2,,undergraduate day,ACC-111,,2,2628
Fall 2017 - Day,ANT-101-01,ANT-12,Cultural Anthropology,4,LEC,JHN 201,08/22/17,12/05/17,MWF,09:30AM,10:20AM,Dr. Brian Siegel,FULL,HB WC,undergraduate day,,,1,2634
Fall 2017 - Day,ANT-101-01,ANT-12,Cultural Anthropology,4,EXAM,JHN 201,12/13/17,12/13/17,W,08:30AM,11:00AM,,FULL,HB WC,undergraduate day,,,2,2634
Fall 2017 - Day,ANT-101-02,ANT-12,Cultural Anthropology,4,LEC,HIP 107,08/22/17,12/05/17,MWF,11:30AM,12:20PM,Dr. Brian Siegel,FULL,HB WC,undergraduate day,,,1,2634
Fall 2017 - Day,ANT-101-02,ANT-12,Cultural Anthropology,4,EXAM,HIP 107,12/11/17,12/11/17,M,12:00PM,02:30PM,,FULL,HB WC,undergraduate day,,,2,2634
Fall 2017 - Day,ANT-204-01,ANT-A29,Mdrn Japanese Scty thru Films,4,LEC,FUR 118,08/22/17,12/05/17,MWF,11:30AM,12:20PM,Dr. Shusuke Yagi,2,VP WC,undergraduate day,,,1,2639
Fall 2017 - Day,ANT-204-01,ANT-A29,Mdrn Japanese Scty thru Films,4,EXAM,FUR 118,12/11/17,12/11/17,M,12:00PM,02:30PM,,2,VP WC,undergraduate day,,,2,2639
Fall 2017 - Day,ANT-303-01,,Cultural Ecology,4,LEC,FUR 111,08/22/17,12/05/17,TR,01:00PM,02:15PM,Dr. Brian Siegel,FULL,HB NE,undergraduate day,,,1,4359
Fall 2017 - Day,ANT-303-01,,Cultural Ecology,4,EXAM,FUR 111,12/12/17,12/12/17,T,12:00PM,02:30PM,,FULL,HB NE,undergraduate day,,,2,4359
Fall 2017 - Day,ARB-101-01,ARB-10,Beginning Arabic,4,LEC,JHN 107,08/22/17,12/05/17,MWF,11:30AM,12:20PM,Staff Staff,9,,undergraduate day,,permission now required,1,2647
Fall 2017 - Day,ARB-101-01,ARB-10,Beginning Arabic,4,EXAM,JHN 107,12/11/17,12/11/17,M,12:00PM,02:30PM,,9,,undergraduate day,,permission now required,2,2647
Fall 2017 - Day,ART-111-01,ART-21,Visual Language I,4,STU,RAB DSS,08/22/17,12/05/17,MW,09:30AM,11:20AM,Mr. William David R. McClain,FULL,VP,undergraduate day,,,1,2649
Fall 2017 - Day,ART-111-01,ART-21,Visual Language I,4,EXAM,RAB DSS,12/13/17,12/13/17,W,08:30AM,11:00AM,,FULL,VP,undergraduate day,,,2,2649
Fall 2017 - Day,ART-111-02,ART-21,Visual Language I,4,STU,RAB DSS,08/22/17,12/05/17,MW,01:30PM,03:20PM,Jennifer A. Bernabe,FULL,VP,undergraduate day,,,1,2649
Fall 2017 - Day,ART-111-02,ART-21,Visual Language I,4,EXAM,RAB DSS,12/13/17,12/13/17,W,12:00PM,02:30PM,,FULL,VP,undergraduate day,,,2,2649
Fall 2017 - Day,ART-112-01,ART-22,Visual Language II,4,STU,RAB SCS,08/22/17,12/05/17,MW,01:30PM,03:20PM,"Mr. Ralph G. Brown, III",5,VP,undergraduate day,,,1,2650
Fall 2017 - Day,ART-112-01,ART-22,Visual Language II,4,EXAM,RAB SCS,12/13/17,12/13/17,W,12:00PM,02:30PM,,5,VP,undergraduate day,,,2,2650
Fall 2017 - Day,ART-112-02,ART-22,Visual Language II,4,STU,RAB SCS,08/22/17,12/05/17,TR,01:30PM,03:20PM,"Mr. Ralph G. Brown, III",2,VP,undergraduate day,,,1,2650
Fall 2017 - Day,ART-112-02,ART-22,Visual Language II,4,EXAM,RAB SCS,12/12/17,12/12/17,T,12:00PM,02:30PM,,2,VP,undergraduate day,,,2,2650
Fall 2017 - Day,ART-113-01,ART-23,Visual Language III,4,STU,RAB PTS,08/22/17,12/05/17,MW,09:30AM,11:20AM,Mr. Michael Brodeur,9,VP,undergraduate day,,,1,2651
Fall 2017 - Day,ART-113-01,ART-23,Visual Language III,4,EXAM,RAB PTS,12/13/17,12/13/17,W,08:30AM,11:00AM,,9,VP,undergraduate day,,,2,2651
Fall 2017 - Day,ART-124-01,ART-24,Drawing,4,STU,RAB ARS,08/22/17,12/05/17,MW,08:30AM,10:20AM,"Glen Miller, Jr.",FULL,VP,undergraduate day,,,1,2652
Fall 2017 - Day,ART-124-01,ART-24,Drawing,4,EXAM,RAB ARS,12/07/17,12/07/17,R,08:30AM,11:00AM,,FULL,VP,undergraduate day,,,2,2652
