Term,Section,Former,Title,Credits,Instructional Method,Location,Start Date,End Date,Meeting Days,Start Time,End Time,Instructor(s),Seats Remaining,Core Requirements,Global Awareness,Freshman Seminar,Purpose,Prequisites,Notes,Sort
Summer 2017 - Day,ACC-111-01,ACC-23,Financial Accounting Prncpls,4,LEC,HIP 202,07/10/17,08/11/17,MTWR,08:30AM,10:20AM,S G Roberson,14,,,,undergraduate day,,,1
Summer 2017 - Day,BIO-221-01,BIO-21,Genetics,4,LEC,TNS 172,07/10/17,08/11/17,MWR,01:30PM,03:30PM,W B Worthen,10,,,,undergraduate day,"BIO-111, BIO-101 or BIO-102",,1
Summer 2017 - Day,BIO-221-01,BIO-21,Genetics,4,LAB,TNS 172,07/10/17,08/11/17,WR,03:30PM,05:30PM,  ,10,,,,undergraduate day,"BIO-111, BIO-101 or BIO-102",,2
Summer 2017 - Day,BUS-150-01,,Perspectives on Business,4,LEC,HIP 202,06/05/17,07/07/17,MTWR,10:30AM,12:20PM,T I Smythe,18,,,,undergraduate day,,,1
Summer 2017 - Day,CHM-110-01,CHM-11,Foundations of Chemistry,4,LEC,PYR 249,06/05/17,07/07/17,MTWRF,10:30AM,12:20PM,E R Gordon,12,NWL,,,undergraduate day,,,1
Summer 2017 - Day,CHM-115-01,,"Kntcs, Thrmodynmcs, & Environ",4,LEC,PYR 249,07/10/17,08/11/17,MTWRF,10:30AM,12:20PM,H  Thomas,15,NWL,NE,,undergraduate day,CHM-110,,1
Summer 2017 - Day,CLS-120-01,CL-31,Mythology,4,LEC,FUR 119,06/05/17,07/07/17,MTWR,02:30PM,04:20PM,R L Childree,20,TA,,,undergraduate day,,,1
Summer 2017 - Day,COM-101-01,COM-20,Public Speaking,4,LEC,FUR 128,06/05/17,07/07/17,MTWR,10:30AM,12:20PM,C P King,1,,,,undergraduate day,,,1
Summer 2017 - Day,COM-221-01,COM-40,Intro to Mass Communication,4,LEC,FUR 127,07/10/17,08/11/17,MTWR,12:30PM,02:20PM,M N Lukacovic,24,,,,undergraduate day,,,1
Summer 2017 - Day,COM-323-01,,"Race, Class & Gender in Media",4,LEC,FUR 128,07/10/17,08/11/17,MTWR,10:30AM,12:20PM,C P King,9,TA,,,undergraduate day,,,1
