Term,Section,Former,Title,Credits,Instructional Method,Location,Start Date,End Date,Meeting Days,Start Time,End Time,Instructor(s),Seats Remaining,GERS,Purpose,Prequisites,Notes,Sort,Courses ID
Spring 2018 - Day,ACC-111-01,ACC-23,Financial Accounting Prncpls,4,LEC,HIP 202,01/08/18,04/24/18,MWF,10:30AM,11:20AM,Dr. Marion E. McHugh,25,,undergraduate day,,,1,2621
Spring 2018 - Day,ACC-111-01,ACC-23,Financial Accounting Prncpls,4,EXAM,HIP 202,04/28/18,04/28/18,S,08:30AM,11:00AM,,25,,undergraduate day,,,2,2621
Spring 2018 - Day,ACC-111-02,ACC-23,Financial Accounting Prncpls,4,LEC,HIP 202,01/08/18,04/24/18,MWF,11:30AM,12:20PM,Dr. Marion E. McHugh,25,,undergraduate day,,,1,2621
Spring 2018 - Day,ACC-111-02,ACC-23,Financial Accounting Prncpls,4,EXAM,HIP 202,04/28/18,04/28/18,S,12:00PM,02:30PM,,25,,undergraduate day,,,2,2621
Spring 2018 - Day,ACC-111-03,ACC-23,Financial Accounting Prncpls,4,LEC,HIP 202,01/08/18,04/24/18,TR,08:30AM,09:48AM,Bill Merkt,25,,undergraduate day,,,1,2621
Spring 2018 - Day,ACC-111-03,ACC-23,Financial Accounting Prncpls,4,EXAM,HIP 202,04/26/18,04/26/18,R,08:30AM,11:00AM,,25,,undergraduate day,,,2,2621
Spring 2018 - Day,ACC-300-01,ACC-24,Mgmt Acct for Decision-Making,4,LEC,HIP 209,01/08/18,04/24/18,TR,11:30AM,12:45PM,Dr. Charles Davis,25,,undergraduate day,,,1,5762
Spring 2018 - Day,ACC-300-01,ACC-24,Mgmt Acct for Decision-Making,4,EXAM,HIP 209,04/26/18,04/26/18,R,12:00PM,02:30PM,,25,,undergraduate day,,,2,5762
Spring 2018 - Day,ACC-301-BLK,ACC-24,Managerial Accounting Prncpls,4,LEC, ,01/08/18,04/24/18,,,,Dr. Suzanne B. Summers,25,,undergraduate day,"ACC-111, ECN-111, 225, MTH-141, or 150",,1,2622
Spring 2018 - Day,ACC-311-01,ACC-41,Intrmd Financial Accounting I,4,LEC,HIP 204,01/08/18,04/24/18,MWF,10:30AM,11:20AM,Ms. Sandra G. Roberson,25,,undergraduate day,ACC-111,,1,2623
Spring 2018 - Day,ACC-311-01,ACC-41,Intrmd Financial Accounting I,4,EXAM,HIP 204,04/28/18,04/28/18,W,08:30AM,11:00AM,,25,,undergraduate day,ACC-111,,2,2623
Spring 2018 - Day,ACC-320-01,ACC-43,Cost Accounting,4,LEC,HIP 202,01/08/18,04/24/18,TR,11:30AM,12:45PM,Bill Merkt,25,,undergraduate day,ACC-311,,1,2625
Spring 2018 - Day,ACC-320-01,ACC-43,Cost Accounting,4,EXAM,HIP 202,04/26/18,04/26/18,R,12:00PM,02:30PM,,25,,undergraduate day,ACC-311,,2,2625
Spring 2018 - Day,ACC-330-01,ACC-45,Auditing,4,LEC,HIP 104,01/08/18,04/24/18,MWF,01:30PM,02:20PM,Dr. Marion E. McHugh,25,,undergraduate day,ACC-312,,1,2626
Spring 2018 - Day,ACC-330-01,ACC-45,Auditing,4,EXAM,HIP 104,04/30/18,04/30/18,M,12:00PM,02:30PM,,25,,undergraduate day,ACC-312,,2,2626
Spring 2018 - Day,ACC-370-01,ACC-46,Advanced Financial Accounting,4,LEC,HIP 204,01/08/18,04/24/18,MWF,12:30PM,01:20PM,Ms. Sandra G. Roberson,25,,undergraduate day,ACC-312,,1,4805
Spring 2018 - Day,ACC-370-01,ACC-46,Advanced Financial Accounting,4,EXAM,HIP 204,04/27/18,04/27/18,F,12:00PM,02:30PM,,25,,undergraduate day,ACC-312,,2,4805
Spring 2018 - Day,ANT-101-01,ANT-12,Cultural Anthropology,4,LEC,FUR 204,01/08/18,04/24/18,TR,08:30AM,09:45AM,Dr. Tami Blumenfield,25,HB WC,undergraduate day,,,1,2634
Spring 2018 - Day,ANT-101-01,ANT-12,Cultural Anthropology,4,EXAM,FUR 204,04/26/18,04/26/18,R,08:30AM,11:00AM,,25,HB WC,undergraduate day,,,2,2634
Spring 2018 - Day,ANT-105-01,ANT-21,World Prehistory,4,LEC,RLY 204,01/08/18,04/24/18,MWF,09:30AM,10:20AM,Dr. Brian Siegel,25,HB WC,undergraduate day,,,1,2635
Spring 2018 - Day,ANT-105-01,ANT-21,World Prehistory,4,EXAM,RLY 204,04/30/18,04/30/18,M,08:30AM,11:00AM,,25,HB WC,undergraduate day,,,2,2635
Spring 2018 - Day,ANT-202-01,ANT-A27,Peoples of Black Africa,4,LEC,FUR 204,01/08/18,04/24/18,TR,01:00PM,02:15PM,Dr. Brian Siegel,24,WC,undergraduate day,,,1,2637
Spring 2018 - Day,ANT-202-01,ANT-A27,Peoples of Black Africa,4,EXAM,FUR 204,05/01/18,05/01/18,T,12:00PM,02:30PM,,24,WC,undergraduate day,,,2,2637
Spring 2018 - Day,ANT-205-01,,Japanese Popular Culture,4,LEC,FUR 214,01/08/18,04/24/18,MWF,10:30AM,11:20AM,Dr. Shusuke Yagi,25,VP WC,undergraduate day,,,1,4921
Spring 2018 - Day,ANT-205-01,,Japanese Popular Culture,4,EXAM,FUR 214,04/28/18,04/28/18,S,08:30AM,11:00AM,,25,VP WC,undergraduate day,,,2,4921
Spring 2018 - Day,ANT-205-02,,Japanese Popular Culture,4,LEC,FUR 214,01/08/18,04/24/18,MWF,12:30PM,01:20PM,Dr. Shusuke Yagi,25,VP WC,undergraduate day,,,1,4921
Spring 2018 - Day,ANT-205-02,,Japanese Popular Culture,4,EXAM,FUR 214,04/27/18,04/27/18,F,12:00PM,02:30PM,,25,VP WC,undergraduate day,,,2,4921
Spring 2018 - Day,ANT-312-01,,Visual Anthropology,4,LEC,FUR 117,01/08/18,04/24/18,MW,11:30AM,01:20PM,Dr. Tami Blumenfield,25,HB WC,undergraduate day,,,1,5409
Spring 2018 - Day,ANT-312-01,,Visual Anthropology,4,EXAM,FUR 117,04/28/18,04/28/18,S,12:00PM,02:30PM,,25,HB WC,undergraduate day,,,2,5409
Spring 2018 - Day,ART-111-01,ART-21,Visual Language I,4,STU,RAB DSS,01/08/18,04/24/18,MW,11:30AM,01:20PM,Mr. William David R. McClain,12,VP,undergraduate day,,,1,2649
Spring 2018 - Day,ART-111-01,ART-21,Visual Language I,4,EXAM,RAB DSS,04/28/18,04/28/18,S,12:00PM,02:30PM,,12,VP,undergraduate day,,,2,2649
Spring 2018 - Day,ART-112-01,ART-22,Visual Language II,4,STU,RAB SCS,01/08/18,04/24/18,TR,01:30PM,03:20PM,Dr. Bob Chance,12,VP,undergraduate day,,,1,2650
